Date,DJIA;
2019-12-30,28462.140625;2019-12-30
2019-12-31,28538.439453125;2019-12-31
2020-01-02,28868.80078125;2020-01-02
2020-01-03,28634.880859375;2020-01-03
2020-01-06,28703.380859375;2020-01-06
2020-01-07,28583.6796875;2020-01-07
2020-01-08,28745.08984375;2020-01-08
2020-01-09,28956.900390625;2020-01-09
2020-01-10,28823.76953125;2020-01-10
2020-01-13,28907.05078125;2020-01-13
2020-01-14,28939.669921875;2020-01-14
2020-01-15,29030.220703125;2020-01-15
2020-01-16,29297.640625;2020-01-16
2020-01-17,29348.099609375;2020-01-17
2020-01-21,29196.0390625;2020-01-21
2020-01-22,29186.26953125;2020-01-22
2020-01-23,29160.08984375;2020-01-23
2020-01-24,28989.73046875;2020-01-24
2020-01-27,28535.80078125;2020-01-27
2020-01-28,28722.849609375;2020-01-28
2020-01-29,28734.44921875;2020-01-29
2020-01-30,28859.439453125;2020-01-30
2020-01-31,28256.029296875;2020-01-31
2020-02-03,28399.810546875;2020-02-03
2020-02-04,28807.630859375;2020-02-04
2020-02-05,29290.849609375;2020-02-05
2020-02-06,29379.76953125;2020-02-06
2020-02-07,29102.509765625;2020-02-07
2020-02-10,29276.8203125;2020-02-10
2020-02-11,29276.33984375;2020-02-11
2020-02-12,29551.419921875;2020-02-12
2020-02-13,29423.310546875;2020-02-13
2020-02-14,29398.080078125;2020-02-14
2020-02-18,29232.189453125;2020-02-18
2020-02-19,29348.029296875;2020-02-19
2020-02-20,29219.98046875;2020-02-20
2020-02-21,28992.41015625;2020-02-21
2020-02-24,27960.80078125;2020-02-24
2020-02-25,27081.359375;2020-02-25
2020-02-26,26957.58984375;2020-02-26
2020-02-27,25766.640625;2020-02-27
2020-02-28,25409.359375;2020-02-28
2020-03-02,26703.3203125;2020-03-02
2020-03-03,25917.41015625;2020-03-03
2020-03-04,27090.859375;2020-03-04
2020-03-05,26121.279296875;2020-03-05
2020-03-06,25864.779296875;2020-03-06
2020-03-09,23851.01953125;2020-03-09
2020-03-10,25018.16015625;2020-03-10
2020-03-11,23553.220703125;2020-03-11
2020-03-12,21200.619140625;2020-03-12
2020-03-13,23185.619140625;2020-03-13
2020-03-16,20188.51953125;2020-03-16
2020-03-17,21237.380859375;2020-03-17
2020-03-18,19898.919921875;2020-03-18
2020-03-19,20087.189453125;2020-03-19
2020-03-20,19173.98046875;2020-03-20
2020-03-23,18591.9296875;2020-03-23
2020-03-24,20704.91015625;2020-03-24
2020-03-25,21200.55078125;2020-03-25
2020-03-26,22552.169921875;2020-03-26
2020-03-27,21636.779296875;2020-03-27
2020-03-30,22327.48046875;2020-03-30
2020-03-31,21917.16015625;2020-03-31
2020-04-01,20943.509765625;2020-04-01
2020-04-02,21413.439453125;2020-04-02
2020-04-03,21052.529296875;2020-04-03
2020-04-06,22679.990234375;2020-04-06
2020-04-07,22653.859375;2020-04-07
2020-04-08,23433.5703125;2020-04-08
2020-04-09,23719.369140625;2020-04-09
2020-04-13,23390.76953125;2020-04-13
2020-04-14,23949.759765625;2020-04-14
2020-04-15,23504.349609375;2020-04-15
2020-04-16,23537.6796875;2020-04-16
2020-04-17,24242.490234375;2020-04-17
2020-04-20,23650.439453125;2020-04-20
2020-04-21,23018.880859375;2020-04-21
2020-04-22,23475.8203125;2020-04-22
2020-04-23,23515.259765625;2020-04-23
2020-04-24,23775.26953125;2020-04-24
2020-04-27,24133.779296875;2020-04-27
2020-04-28,24101.55078125;2020-04-28
2020-04-29,24633.859375;2020-04-29
2020-04-30,24345.720703125;2020-04-30
2020-05-01,23723.689453125;2020-05-01
2020-05-04,23749.759765625;2020-05-04
2020-05-05,23883.08984375;2020-05-05
2020-05-06,23664.640625;2020-05-06
2020-05-07,23875.890625;2020-05-07
2020-05-08,24331.3203125;2020-05-08
2020-05-11,24221.990234375;2020-05-11
2020-05-12,23764.779296875;2020-05-12
2020-05-13,23247.970703125;2020-05-13
2020-05-14,23625.33984375;2020-05-14
2020-05-15,23685.419921875;2020-05-15
2020-05-18,24597.369140625;2020-05-18
2020-05-19,24206.859375;2020-05-19
2020-05-20,24575.900390625;2020-05-20
2020-05-21,24474.119140625;2020-05-21
2020-05-22,24465.16015625;2020-05-22
2020-05-26,24995.109375;2020-05-26
2020-05-27,25548.26953125;2020-05-27
2020-05-28,25400.640625;2020-05-28
2020-05-29,25383.109375;2020-05-29
2020-06-01,25475.01953125;2020-06-01
2020-06-02,25742.650390625;2020-06-02
2020-06-03,26269.890625;2020-06-03
2020-06-04,26281.8203125;2020-06-04
2020-06-05,27110.98046875;2020-06-05
2020-06-08,27572.439453125;2020-06-08
2020-06-09,27272.30078125;2020-06-09
2020-06-10,26989.990234375;2020-06-10
2020-06-11,25128.169921875;2020-06-11
2020-06-12,25605.5390625;2020-06-12
2020-06-15,25763.16015625;2020-06-15
2020-06-16,26289.98046875;2020-06-16
2020-06-17,26119.609375;2020-06-17
2020-06-18,26080.099609375;2020-06-18
2020-06-19,25871.4609375;2020-06-19
