Date,DJIA
2015-06-26,
2015-06-29,-0.019520606832304943
2015-06-30,0.0013161909580190478
2015-07-01,0.007854951270835908
2015-07-02,-0.001565543524287727
2015-07-06,-0.0026243096357096984
2015-07-07,0.005277781858236574
2015-07-08,-0.014709543563905858
2015-07-09,0.001895428079833783
2015-07-10,0.01206881372989077
2015-07-13,0.01223336225563143
2015-07-14,0.004221923626649859
2015-07-15,-0.0001888908590563787
2015-07-16,0.0038825162548785652
2015-07-17,-0.0018653595425007774
2015-07-20,0.0007719004062736179
2015-07-21,-0.0100064635103011
2015-07-22,-0.0038087448537692525
2015-07-23,-0.006672952773669971
2015-07-24,-0.009214491477509634
2015-07-27,-0.007282308664718906
2015-07-28,0.010875761037862697
2015-07-29,0.006870064778947915
2015-07-30,-0.0003047736576975435
2015-07-31,-0.00316246790921626
2015-08-03,-0.005181508473693031
2015-08-04,-0.0026996947264001925
2015-08-05,-0.0005822420838390574
2015-08-06,-0.006882409552640634
2015-08-07,-0.002661871761936885
2015-08-10,0.01391721418284142
2015-08-11,-0.012053819467351401
2015-08-12,-1.896691160541142e-05
2015-08-13,0.0003298509497944302
2015-08-14,0.003972276973561284
2015-08-17,0.003878110895219722
2015-08-18,-0.0019287259721887384
2015-08-19,-0.009285947074920031
2015-08-20,-0.02063787988809518
2015-08-21,-0.031248846881098635
2015-08-24,-0.03574783278148208
2015-08-25,-0.01291063360903244
2015-08-26,0.03951563462778562
2015-08-27,0.02267413000509344
2015-08-28,-0.0007060899643753782
2015-08-31,-0.0069086343377317005
2015-09-01,-0.028417162086517123
2015-09-02,0.018247844925883605
2015-09-03,0.0014298415779010476
2015-09-04,-0.01663413000930236
2015-09-08,0.024238640966612657
2015-09-09,-0.014497909347091942
2015-09-10,0.004726966238667751
2015-09-11,0.006288238540921087
2015-09-14,-0.0037807791111256206
2015-09-15,0.013981443298600071
2015-09-16,0.008439811966481692
2015-09-17,-0.0038954111223922228
2015-09-18,-0.017401179998704497
2015-09-21,0.007666316402438644
2015-09-22,-0.010885382452621273
2015-09-23,-0.003097282501478116
2015-09-24,-0.0048261589994893495
2015-09-25,0.006996319262174255
2015-09-28,-0.019171719374972973
2015-09-29,0.0029521659886970752
2015-09-30,0.014678073778459533
2015-10-01,-0.0007792854357339118
2015-10-02,0.012313130208615242
2015-10-05,0.01845882303141866
2015-10-06,0.0008201843825716981
2015-10-07,0.007272080503670342
2015-10-08,0.008187001593238596
2015-10-09,0.0019788123323021267
2015-10-12,0.002772639977849156
2015-10-13,-0.0029167149289655026
2015-10-14,-0.009199252497848143
2015-10-15,0.012821459696598092
2015-10-16,0.0043298206498751934
2015-10-19,0.0008462119055741013
2015-10-20,-0.0007794119180651871
2015-10-21,-0.002816965318837128
2015-10-22,0.018670748122254333
2015-10-23,0.009007811758399376
2015-10-26,-0.0013401054331380058
2015-10-27,-0.002361741690847463
2015-10-28,0.011266992916442842
2015-10-29,-0.0013340489858745253
2015-10-30,-0.005196145185827228
2015-11-02,0.009353771208611583
2015-11-03,0.0050138442704439345
2015-11-04,-0.002822295348433923
2015-11-05,-0.0002322861073996707
2015-11-06,0.002625497535773791
2015-11-09,-0.010041669170277379
2015-11-10,0.001563999847543629
2015-11-11,-0.0031529208979472756
2015-11-12,-0.014356977855333963
2015-11-13,-0.011624785692185724
2015-11-16,0.013787545317927918
2015-11-17,0.0003712309529084745
2015-11-18,0.014160505231710419
2015-11-19,-0.0002486393656678798
2015-11-20,0.00513516216463894
2015-11-23,-0.0017465883231382318
2015-11-24,0.0010965051902049883
2015-11-25,6.743538620912481e-05
2015-11-27,0.0
2015-11-30,-0.0052472157093900185
2015-12-01,0.009505104325673308
2015-12-02,-0.008870014581548902
2015-12-03,-0.01421400555829977
2015-12-04,0.021167634996754225
2015-12-07,-0.0065622767902820955
2015-12-08,-0.009165543899931516
2015-12-09,-0.004308926386042855
2015-12-10,0.004713457639510699
2015-12-11,-0.01761271497460848
2015-12-14,0.005982496412809901
2015-12-15,0.009005392305035054
2015-12-16,0.01279205916043158
2015-12-17,-0.014268337262892228
2015-12-18,-0.020992936937017426
2015-12-21,0.007184983770472719
2015-12-22,0.009602019919099591
2015-12-23,0.010641153793794267
2015-12-24,-0.002865453186539302
2015-12-28,-0.0013616772587879966
2015-12-29,0.010994293370285568
2015-12-30,-0.006608625766024612
2015-12-31,-0.010159121402310678
2016-01-04,-0.015844440720654274
2016-01-05,0.0005668399000164914
2016-01-06,-0.014695226103254577
2016-01-07,-0.02321059530855174
2016-01-08,-0.010151895533397792
2016-01-11,0.0031884670105590818
2016-01-12,0.007174429744971178
2016-01-13,-0.022088015983340203
2016-01-14,0.014094103625336585
2016-01-15,-0.02387011036810016
2016-01-19,0.0017475177124754993
2016-01-20,-0.01556437268252664
2016-01-21,0.007353419375314196
2016-01-22,0.013274213311178729
2016-01-25,-0.012942486884209514
2016-01-26,0.017753027470934768
2016-01-27,-0.01377913850137158
2016-01-28,0.007850983213396834
2016-01-29,0.024683884734843398
2016-02-01,-0.0010397656387702847
2016-02-02,-0.017972911358136723
2016-02-03,0.01133622207545093
2016-02-04,0.004892060011692401
2016-02-05,-0.012890038641146018
2016-02-08,-0.010979343058158286
2016-02-09,-0.0007905336309177446
2016-02-10,-0.006221886152734446
2016-02-11,-0.015995268733646206
2016-02-12,0.0200291543589608
2016-02-16,0.013933425818531964
2016-02-17,0.015893640590205926
2016-02-18,-0.0024553791082789767
2016-02-19,-0.0013062140901196617
2016-02-22,0.013950101153395345
2016-02-23,-0.011364221252305295
