Date,location,new_cases,new_deaths,total_cases,total_deaths;
2020-04-14,World,66014,5371,1881445,120531;2020-04-14
2020-04-15,World,76602,7604,1958047,128135;2020-04-15
2020-04-16,World,79742,10520,2037789,138655;2020-04-16
2020-04-17,World,82962,8709,2120751,147364;2020-04-17
2020-04-18,World,81894,8568,2202645,155932;2020-04-18
2020-04-19,World,79734,6493,2282379,162425;2020-04-19
2020-04-20,World,72140,5035,2354519,167460;2020-04-20
2020-04-21,World,75958,5336,2430477,172796;2020-04-21
2020-04-22,World,85730,7284,2516207,180080;2020-04-22
2020-04-23,World,66283,6101,2582490,186181;2020-04-23
2020-04-24,World,77434,7444,2659924,193625;2020-04-24
2020-04-25,World,73765,5432,2733689,199057;2020-04-25
2020-04-26,World,100548,6246,2834237,205303;2020-04-26
2020-04-27,World,83055,3927,2917292,209230;2020-04-27
2020-04-28,World,65780,4890,2983072,214120;2020-04-28
2020-04-29,World,71565,6518,3054637,220638;2020-04-29
2020-04-30,World,77804,6671,3132441,227309;2020-04-30
2020-05-01,World,84585,5534,3217026,232843;2020-05-01
2020-05-02,World,91742,5840,3308768,238683;2020-05-02
2020-05-03,World,81169,4765,3389937,243448;2020-05-03
2020-05-04,World,78509,3686,3468446,247134;2020-05-04
2020-05-05,World,77166,3999,3545612,251133;2020-05-05
2020-05-06,World,79184,5948,3624796,257081;2020-05-06
2020-05-07,World,89823,6386,3714619,263467;2020-05-07
2020-05-08,World,94185,5746,3808804,269213;2020-05-08
2020-05-09,World,90142,5265,3898946,274478;2020-05-09
2020-05-10,World,90155,4440,3989101,278918;2020-05-10
2020-05-11,World,76989,3410,4066090,282328;2020-05-11
2020-05-12,World,71030,3570,4137120,285898;2020-05-12
2020-05-13,World,85786,5776,4222906,291674;2020-05-13
2020-05-14,World,85950,5187,4308856,296861;2020-05-14
2020-05-15,World,96665,5370,4405521,302231;2020-05-15
2020-05-16,World,98033,5171,4503554,307402;2020-05-16
2020-05-17,World,94196,4268,4597750,311670;2020-05-17
2020-05-18,World,81217,2973,4678967,314643;2020-05-18
2020-05-19,World,87136,3262,4766103,317905;2020-05-19
2020-05-20,World,95075,5228,4861178,323133;2020-05-20
2020-05-21,World,99363,4801,4960541,327934;2020-05-21
2020-05-22,World,107924,5442,5068465,333376;2020-05-22
2020-05-23,World,106574,4690,5175039,338066;2020-05-23
2020-05-24,World,101106,3989,5276145,342055;2020-05-24
2020-05-25,World,94216,2734,5370361,344789;2020-05-25
2020-05-26,World,89096,3383,5459457,348172;2020-05-26
2020-05-27,World,95870,3936,5555327,352108;2020-05-27
2020-05-28,World,102583,5176,5657910,357284;2020-05-28
2020-05-29,World,118805,4701,5776715,361985;2020-05-29
2020-05-30,World,123018,4804,5899733,366789;2020-05-30
2020-05-31,World,127796,4050,6027529,370839;2020-05-31
2020-06-01,World,107968,2910,6135497,373749;2020-06-01
2020-06-02,World,100481,3577,6235978,377326;2020-06-02
2020-06-03,World,112519,4654,6348497,381980;2020-06-03
2020-06-04,World,126684,5652,6475181,387632;2020-06-04
2020-06-05,World,127662,5189,6602843,392821;2020-06-05
2020-06-06,World,133510,4784,6736353,397605;2020-06-06
2020-06-07,World,125862,3822,6862215,401427;2020-06-07
2020-06-08,World,116318,3504,6978533,404931;2020-06-08
2020-06-09,World,105851,3230,7084384,408161;2020-06-09
2020-06-10,World,125594,4929,7209978,413090;2020-06-10
2020-06-11,World,133462,5239,7343440,418329;2020-06-11
2020-06-12,World,137577,4762,7481017,423091;2020-06-12
2020-06-13,World,144465,4735,7625482,427826;2020-06-13
2020-06-14,World,134029,4199,7759511,432025;2020-06-14
2020-06-15,World,122105,3129,7881616,435154;2020-06-15
2020-06-16,World,118801,3375,8000417,438529;2020-06-16
2020-06-17,World,141305,6851,8141722,445380;2020-06-17
2020-06-18,World,176426,5250,8318148,450630;2020-06-18
2020-06-19,World,138667,6326,8456815,456956;2020-06-19
2020-06-20,World,176963,5120,8633778,462076;2020-06-20
