Date,Three_Component_Index,News_Based_Policy_Uncert_Index
1-1985,125.224739074707,103.748802185058
2-1985,99.0208129882812,78.3132019042968
3-1985,112.190505981445,100.761482238769
4-1985,102.811325073242,84.7788696289062
5-1985,120.082725524902,98.0536575317382
6-1985,132.713180541992,119.597145080566
7-1985,128.001815795898,111.41510772705
8-1985,126.76611328125,111.247009277343
9-1985,126.768562316894,111.184463500976
10-1985,116.057708740234,93.0991058349609
11-1985,122.036872863769,85.0991287231445
12-1985,133.243911743164,104.177215576171
1-1986,155.932922363281,144.266479492187
2-1986,159.467681884765,118.993537902832
3-1986,160.198089599609,120.160049438476
4-1986,150.366256713867,102.477355957031
5-1986,132.637908935546,132.386169433593
6-1986,122.511779785156,115.052291870117
7-1986,132.11962890625,130.821060180664
8-1986,127.552490234375,118.302597045898
9-1986,132.018325805664,125.894218444824
10-1986,111.50926208496,91.8204650878906
11-1986,115.020286560058,98.3289413452148
12-1986,108.968109130859,87.9796829223632
1-1987,122.114273071289,110.433319091796
2-1987,109.145240783691,76.9660720825195
3-1987,122.084869384765,99.059585571289
4-1987,110.859718322753,79.532356262207
5-1987,110.042922973632,87.5850524902343
6-1987,121.157913208007,106.572853088378
7-1987,106.348007202148,81.3894119262695
8-1987,74.8379669189453,52.7901535034179
9-1987,78.9813919067382,59.8695945739746
10-1987,143.603073120117,170.322067260742
11-1987,155.422073364257,183.10252380371
12-1987,135.47265625,149.011138916015
1-1988,131.521453857421,142.872848510742
2-1988,116.584320068359,102.032890319824
3-1988,105.052459716796,82.3536300659179
4-1988,113.655982971191,97.8568038940429
5-1988,96.1457366943359,99.127456665039
6-1988,89.7825088500976,88.2859497070312
7-1988,85.1819686889648,80.8358840942382
8-1988,100.158454895019,94.8896942138671
9-1988,94.5540924072265,85.3568115234375
10-1988,102.230781555175,98.2537994384765
11-1988,113.959892272949,102.234001159667
12-1988,99.6663284301757,77.8281021118164
1-1989,105.075363159179,87.4264068603515
2-1989,84.8448410034179,51.3506431579589
3-1989,97.2156753540039,72.5232543945312
4-1989,108.863059997558,92.3798294067382
5-1989,87.8160400390625,83.7528686523437
6-1989,94.8397369384765,95.7863082885742
7-1989,84.5699234008789,78.256591796875
8-1989,95.8603820800781,83.1093063354492
9-1989,90.9181976318359,74.6954803466796
10-1989,91.5966873168945,76.4495544433593
11-1989,107.849128723144,105.047485351562
12-1989,107.095230102539,103.796684265136
1-1990,100.359176635742,92.3214950561523
2-1990,89.5909576416015,110.44627380371
3-1990,86.0652923583984,104.46141052246
4-1990,76.6616973876953,88.4481735229492
5-1990,118.537940979003,97.3879318237304
6-1990,120.526741027832,100.864341735839
7-1990,111.569618225097,86.280174255371
8-1990,142.165252685546,139.322692871093
9-1990,157.69529724121,165.938446044921
10-1990,141.119537353515,137.674240112304
11-1990,145.290939331054,152.448608398437
12-1990,134.485122680664,134.061538696289
1-1991,175.658599853515,204.010543823242
2-1991,115.2134475708,106.518058776855
3-1991,116.025703430175,107.93748474121
4-1991,107.241676330566,93.0146408081054
5-1991,94.7586822509765,82.1478271484375
6-1991,96.9376068115234,85.9190368652343
7-1991,93.5315780639648,80.6489944458007
8-1991,100.595542907714,99.122085571289
9-1991,117.047805786132,127.294441223144
10-1991,105.54141998291,108.120964050292
11-1991,122.249153137207,140.612365722656
12-1991,139.999114990234,171.010971069335
1-1992,109.200843811035,116.364852905273
2-1992,125.536766052246,154.596923828125
3-1992,91.705825805664,96.8284225463867
4-1992,87.5822982788085,89.8542327880859
5-1992,96.8749465942382,78.6804733276367
6-1992,122.349166870117,122.293502807617
7-1992,120.914932250976,119.613182067871
8-1992,115.907516479492,122.407119750976
9-1992,127.019622802734,141.443237304687
10-1992,138.521789550781,161.25422668457
11-1992,118.776863098144,108.150070190429
12-1992,106.86791229248,87.8720932006835
1-1993,102.530326843261,83.4649810791015
2-1993,119.962532043457,106.976119995117
3-1993,121.557868957519,109.796813964843
4-1993,109.2568359375,89.651123046875
5-1993,133.589660644531,133.505752563476
6-1993,126.048767089843,120.680061340332
7-1993,117.584510803222,106.502990722656
8-1993,106.032363891601,115.576171875
9-1993,106.274688720703,116.027297973632
10-1993,84.487693786621,78.8225173950195
11-1993,84.5566101074218,89.2574996948242
12-1993,77.5203323364257,77.2720184326171
1-1994,80.0098037719726,82.2928009033203
2-1994,94.5926971435546,96.145652770996
3-1994,87.0063171386718,83.2268829345703
4-1994,100.416366577148,106.354446411132
5-1994,96.5273056030273,94.5038833618164
6-1994,92.379783630371,87.468894958496
7-1994,85.3709487915039,75.4320526123046
8-1994,92.826057434082,88.9972991943359
9-1994,90.630027770996,85.2935028076171
10-1994,76.4990005493164,61.6862258911132
11-1994,91.7752838134765,94.6872787475585
12-1994,91.7950057983398,94.76318359375
1-1995,107.954940795898,122.406372070312
2-1995,86.3230667114257,100.515556335449
3-1995,78.0966186523437,86.4861679077148
4-1995,65.9917831420898,65.9955673217773
5-1995,74.7023620605468,67.3016510009765
6-1995,79.6735610961914,75.823387145996
7-1995,83.038101196289,81.6529388427734
8-1995,66.7637634277343,55.888011932373
9-1995,75.2251739501953,70.3809127807617
10-1995,80.6260452270507,79.905517578125
11-1995,90.5328216552734,101.200119018554
12-1995,84.3472290039062,90.6706008911132
1-1996,90.6631774902343,101.578224182128
2-1996,75.8346252441406,82.0213928222656
3-1996,72.6524353027343,76.6304626464843
4-1996,69.1906509399414,70.8810577392578
5-1996,69.4277877807617,62.1096115112304
6-1996,81.179702758789,82.242935180664
7-1996,73.6108322143554,69.6936721801757
8-1996,83.6582565307617,88.6474227905273
9-1996,77.9756317138671,78.9807662963867
10-1996,64.1959533691406,55.6702461242675
11-1996,74.2086639404296,74.3711929321289
12-1996,69.9741668701171,67.1733474731445
1-1997,74.9683074951171,75.4455108642578
2-1997,87.6972885131835,92.0861358642578
3-1997,75.0123138427734,70.4526901245117
4-1997,75.4542922973632,71.1044311523437
5-1997,73.4581298828125,75.8694992065429
6-1997,78.4829788208007,84.4780349731445
7-1997,73.8948669433593,76.706199645996
8-1997,63.8098793029785,58.9150199890136
9-1997,61.1595611572265,54.4143028259277
10-1997,83.6521530151367,92.9295578002929
11-1997,78.3938903808593,85.9828033447265
12-1997,88.7444839477539,103.699523925781
1-1998,91.0406265258789,107.953758239746
2-1998,88.8194351196289,101.149467468261
3-1998,78.3883209228515,83.3476181030273
4-1998,73.2001419067382,74.4572830200195
5-1998,75.855110168457,80.1271514892578
6-1998,76.2863464355468,80.8877334594726
7-1998,88.1770095825195,101.418518066406
8-1998,101.408081054687,130.467041015625
9-1998,123.961471557617,169.037277221679
10-1998,109.88134765625,145.023239135742
11-1998,92.9463195800781,113.504745483398
12-1998,91.4061813354492,110.894981384277
1-1999,98.6450424194335,123.322845458984
2-1999,82.3835906982421,94.9962844848632
3-1999,66.0005340576171,67.0275726318359
4-1999,67.5329513549804,69.7878952026367
5-1999,67.0885314941406,64.7764587402343
6-1999,73.011116027832,74.9256286621093
7-1999,79.813117980957,86.5299377441406
8-1999,69.5531768798828,77.0253295898437
9-1999,69.8162307739257,77.4983444213867
10-1999,62.7115478515625,65.3370819091796
11-1999,82.0638275146484,76.3171844482421
12-1999,83.809471130371,79.3224258422851
1-2000,89.2015380859375,88.9886932373046
2-2000,77.6013946533203,73.3651962280273
3-2000,77.5483093261718,73.2986221313476
4-2000,76.059226989746,70.5997467041015
5-2000,97.9862060546875,118.143211364746
6-2000,92.9650192260742,109.584228515625
7-2000,79.4469757080078,86.6583557128906
8-2000,66.5813369750976,58.9064598083496
9-2000,75.1416549682617,73.5509948730468
10-2000,84.6617279052734,89.9134521484375
11-2000,125.067543029785,166.184051513671
12-2000,115.268722534179,149.448516845703
1-2001,111.416038513183,142.614120483398
2-2001,110.917846679687,128.62564086914
3-2001,116.026947021484,137.37417602539
4-2001,122.6734085083,148.758010864257
5-2001,100.429016113281,117.436256408691
